"Распределение приема, численности студентов и выпуска специалистов организаций, осуществляющих образовательную деятельность по образовательным программам высшего образования (бакалавриат, специалитет, магистратура), в разрезе субъектов Российской Федерации","","","","","","","","","","","","","","","","","","","","","","","","",""
" (без учета обучающихся в соответствии установленной Правительством Российской Федерации квотой на образование иностранных граждан и лиц без гражданства)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Всего","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Число самостоятельных организаций","","","","Число филиалов самостоя- тельных  организа-
ций","Численность студентов, человек","","","","Численность студентов в филиалах, человек
(из гр. 7)","из общей численности студентов - женщины, человек","","","","Принято, человек","","","","Выпущено, человек","","","","","из гр.2 число организаций высшего образования","из гр.6 число филиалов организаций высшего образования"
"","Всего","в том числе:","","","","Всего","в том числе по формам обучения:","","","","Всего","в % к общему числу","из обучавшихся по очной форме обучения","","Всего","в том числе по формам обучения:","","","Всего","в том числе по формам обучения:","","","аттеста-ция экстер-нов","",""
"","","Автоном- ные","Бюджет- ные","Казенные","","","очная","очно-заочная (вечерняя)","заочная","","","","Всего","в % к числу студентов очной формы обучения","","очная","очно-заочная (вечерняя)","заочная","","очная","очно-заочная (вечерняя)","заочная","","",""
"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26"
"Российская Федерация","722","59","439","1","525","4130018","2568274","341004","1220740","477130","2138242","51.8","1303687","50.8","1201541","774771","136961","289809","816315","487150","43972","282512","2681","711","524"
"Центральный федеральный округ","263","21","135","1","120","1369454","848480","158605","362369","94572","707752","51.7","424325","50","409025","260714","62893","85418","285516","165584","23314","95363","1255","256","120"
"   Белгородская область","6","1","3","0","6","47096","26546","1304","19246","6138","22856","48.5","12558","47.3","12652","7724","526","4402","8655","4541","158","3928","28","6","6"
"   Брянская область","5","0","4","0","4","22514","11352","1743","9419","2753","10128","45","4995","44","6097","3463","585","2049","4535","2187","210","2138","0","5","4"
"   Владимирская область","2","0","2","0","6","24179","11510","3523","9146","8422","12044","49.8","5648","49.1","7509","3530","1429","2550","5319","2252","409","2658","0","2","6"
"   Воронежская область","15","1","9","0","9","86867","51645","3393","31829","7350","44802","51.6","26968","52.2","24081","14900","1392","7789","17712","10452","328","6922","10","15","9"
"   Ивановская область","6","0","6","0","5","23078","15054","1672","6352","4636","11361","49.2","7470","49.6","6123","4109","572","1442","4705","2996","254","1455","0","6","5"
"   Калужская область","4","0","1","0","8","19520","11373","1596","6551","11563","10485","53.7","5776","50.8","5824","3161","943","1720","3722","1974","115","1633","0","4","8"
"   Костромская область","2","0","2","0","0","9802","5538","616","3648","0","5297","54","2879","52","2653","1623","307","723","1634","996","34","604","0","2","0"
"   Курская область","8","1","4","0","3","36922","19575","2257","15090","908","20591","55.8","10910","55.7","9859","5456","1075","3328","7054","3895","187","2971","1","8","3"
"   Липецкая область","4","0","3","0","6","18292","10548","3522","4222","5034","9147","50","5372","50.9","4830","2877","1000","953","4012","2088","444","1417","63","4","6"
"   Московская область","25","3","11","1","37","73928","40372","7605","25951","17008","39050","52.8","20636","51.1","20938","12479","2997","5462","15252","8455","798","5999","0","23","37"
"   Орловская область","3","0","3","0","5","25691","14372","2446","8873","6059","13811","53.8","7546","52.5","7463","4249","1158","2056","5803","3256","197","2350","0","3","5"
"   Рязанская область","6","0","4","0","2","28385","16874","1941","9570","3400","14755","52","9221","54.6","7104","4410","786","1908","5622","3154","236","2232","0","6","2"
"   Смоленская область","6","0","5","0","9","22327","13680","1375","7272","7511","12229","54.8","7439","54.4","5618","3423","537","1658","4083","2384","159","1518","22","6","9"
"   Тамбовская область","5","0","4","0","3","29044","15073","1897","12074","1769","14360","49.4","7536","50","8055","4422","729","2904","5526","2921","235","2370","0","5","3"
"   Тверская область","6","0","4","0","3","22162","14232","1274","6656","1709","11609","52.4","7796","54.8","6012","4066","616","1330","4572","2860","45","1667","0","6","3"
"   Тульская область","6","0","2","0","6","32969","16653","2615","13701","5896","16295","49.4","7922","47.6","9233","4980","1084","3169","5900","3081","502","2317","0","6","6"
"   Ярославская область","8","0","7","0","5","31172","19809","1730","9633","3084","17641","56.6","10875","54.9","8229","5580","569","2080","5321","3438","172","1711","0","8","5"
"   г.Москва","146","15","61","0","3","815506","534274","118096","163136","1332","421291","51.7","262778","49.2","256745","170262","46588","39895","176089","104654","18831","51473","1131","141","3"
"Северо-Западный федеральный округ","87","11","48","0","40","437441","313891","22017","101533","45004","231314","52.9","163617","52.1","128740","95879","9683","23178","84267","60195","2472","21050","550","84","40"
"   Республика Карелия","2","0","2","0","2","10778","7745","557","2476","1537","5945","55.2","4272","55.2","2745","1973","268","504","1941","1366","31","544","0","2","2"
"   Республика Коми","3","1","2","0","3","13001","7152","767","5082","2431","6111","47","3305","46.2","3751","2416","340","995","2230","1148","57","1025","0","3","3"
"   Архангельская область","4","1","1","0","3","17377","12464","936","3977","2491","9587","55.2","6829","54.8","4994","3649","399","946","3076","2043","92","940","1","4","3"
"   Вологодская область","4","0","4","0","2","18524","10163","1123","7238","1781","9712","52.4","5172","50.9","5130","3159","530","1441","3422","1873","36","1513","0","3","2"
"   Калининградская область","3","1","1","0","6","21243","14184","807","6252","5491","11015","51.9","7562","53.3","6251","4598","435","1218","3546","2168","42","1336","0","3","6"
"   Ленинградская область","1","1","0","0","8","6441","3117","617","2707","3925","4196","65.1","1930","61.9","1571","819","241","511","824","491","60","273","0","1","8"
"   Мурманская область","4","1","2","0","5","6861","3784","338","2739","1845","2726","39.7","1710","45.2","1888","1117","127","644","1190","644","37","509","0","3","5"
"   Новгородская область","1","0","1","0","1","8887","6007","323","2557","456","4851","54.6","3170","52.8","2797","2076","131","590","1444","846","27","571","0","1","1"
"   Псковская область","3","0","3","0","4","10968","6209","566","4193","690","5828","53.1","3186","51.3","3315","1857","310","1148","1949","1038","28","883","0","3","4"
"   г.Санкт-Петербург","62","6","32","0","6","323361","243066","15983","64312","24357","171343","53","126481","52","96298","74215","6902","15181","64645","48578","2062","13456","549","61","6"
"   Ненецкий автономный округ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Южный федеральный округ","57","5","34","0","82","387396","230423","31129","125844","82720","198056","51.1","115482","50.1","108487","66977","12210","29300","81004","47183","3674","29387","760","57","82"
"   Республика Адыгея","2","0","2","0","1","14180","7660","1794","4726","940","6302","44.4","3800","49.6","3914","1833","687","1394","3674","1919","458","1283","14","2","1"
"   Республика Калмыкия","1","0","1","0","1","8803","4316","692","3795","1186","4227","48","2047","47.4","2568","1395","205","968","1508","1094","0","414","0","1","1"
"   Краснодарский край","17","0","9","0","26","100943","58245","8879","33819","20406","56394","55.9","31025","53.3","28107","16907","3264","7936","22212","12270","945","8810","187","17","26"
"   Астраханская область","6","1","4","0","7","27976","17155","2334","8487","3203","13843","49.5","8944","52.1","7175","4402","640","2133","5540","3355","332","1850","3","6","7"
"   Волгоградская область","12","1","8","0","11","57458","34272","4612","18574","10860","28893","50.3","17405","50.8","16662","10465","1912","4285","11203","6510","428","4220","45","12","11"
"   Ростовская область","12","1","7","0","25","130472","74533","10998","44941","38170","63359","48.6","34726","46.6","36195","21375","4758","10062","26427","14828","1241","9847","511","12","25"
"   Республика Крым","6","1","3","0","6","33413","24015","1238","8160","4442","18354","54.9","12760","53.1","9660","7416","480","1764","7638","5317","195","2126","0","6","6"
"   г.Севастополь","1","1","0","0","5","14151","10227","582","3342","3513","6684","47.2","4775","46.7","4206","3184","264","758","2802","1890","75","837","0","1","5"
"Северо-Кавказский федеральный округ","41","3","23","0","38","207627","114842","17572","75213","34553","101888","49.1","58062","50.6","57186","33646","6093","17447","41277","21680","1952","17544","101","41","38"
"   Республика Дагестан","13","1","5","0","15","53192","26520","3820","22852","10242","25368","47.7","13289","50.1","14688","8091","1426","5171","10232","4958","289","4962","23","13","15"
"   Республика Ингушетия","2","0","1","0","0","7702","4277","377","3048","0","3001","39","2249","52.6","2264","1182","254","828","1743","723","104","916","0","2","0"
"   Кабардино-Балкарская Республика","3","0","3","0","0","15812","12154","774","2884","0","7704","48.7","5913","48.7","4704","3843","260","601","2756","1901","0","824","31","3","0"
"   Карачаево-Черкесская Республика","2","0","2","0","3","10563","5733","380","4450","1237","4573","43.3","2710","47.3","2398","1566","146","686","2221","1339","9","873","0","2","3"
"   Республика Северная Осетия - Алания","6","0","5","0","1","20034","13556","1111","5367","878","9394","46.9","6653","49.1","5582","3760","452","1370","4045","2723","60","1262","0","6","1"
"   Чеченская Республика","3","0","3","0","1","35456","16008","4384","15064","910","18581","52.4","7800","48.7","9955","4827","1581","3547","6042","2397","506","3139","0","3","1"
"   Ставропольский край","12","2","4","0","18","64868","36594","6726","21548","21286","33267","51.3","19448","53.1","17595","10377","1974","5244","14238","7639","984","5568","47","12","18"
