"Распределение приема, численности студентов и выпуска специалистов организаций, осуществляющих образовательную деятельность по образовательным программам высшего образования (бакалавриат, специалитет, магистратура), в разрезе субъектов Российской Федерации","","","","","","","","","","","","","","","","","","","","","","","","",""
" (без учета обучающихся в соответствии установленной Правительством Российской Федерации квотой на образование иностранных граждан и лиц без гражданства)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Всего","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Число самостоятельных организаций","","","","Число филиалов самостоя- тельных  организа-
ций","Численность студентов, человек","","","","Численность студентов в филиалах, человек
(из гр. 7)","из общей численности студентов - женщины, человек","","","","Принято, человек","","","","Выпущено, человек","","","","","из гр.2 число организаций высшего образования","из гр.6 число филиалов организаций высшего образования"
"","Всего","в том числе:","","","","Всего","в том числе по формам обучения:","","","","Всего","в % к общему числу","из обучавшихся по очной форме обучения","","Всего","в том числе по формам обучения:","","","Всего","в том числе по формам обучения:","","","аттеста-ция экстер-нов","",""
"","","Автоном- ные","Бюджет- ные","Казенные","","","очная","очно-заочная (вечерняя)","заочная","","","","Всего","в % к числу студентов очной формы обучения","","очная","очно-заочная (вечерняя)","заочная","","очная","очно-заочная (вечерняя)","заочная","","",""
"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26"
"Российская Федерация","739","58","437","1","532","4431687","2748205","564814","1118668","504131","2246974","50.7","1351744","49.2","1298067","808836","191139","298092","827554","507621","62988","255155","1790","724","531"
"Центральный федеральный округ","276","21","137","1","120","1552853","924636","298418","329799","102170","781067","50.3","446554","48.3","482313","277171","109525","95617","305491","179065","34619","90784","1023","266","120"
"   Белгородская область","6","1","3","0","6","48234","28220","2462","17552","6889","22738","47.1","12973","46","13425","8667","758","4000","8939","5037","184","3718","0","6","6"
"   Брянская область","5","0","4","0","4","23136","11948","2275","8913","2949","10022","43.3","4668","39.1","6051","3332","647","2072","4502","2337","316","1849","0","5","4"
"   Владимирская область","2","0","2","0","7","24435","11388","4922","8125","9538","11787","48.2","5374","47.2","7568","3524","1385","2659","5428","2577","584","2267","0","2","7"
"   Воронежская область","16","1","9","0","10","90350","53508","5820","31022","7863","45817","50.7","26893","50.3","25219","15019","1772","8428","17490","10665","474","6351","0","16","10"
"   Ивановская область","6","0","6","0","5","23177","15115","2383","5679","4778","11128","48","7300","48.3","6433","4196","683","1554","4549","2952","297","1300","0","6","5"
"   Калужская область","4","0","1","0","8","20528","11684","2673","6171","11831","10707","52.2","5653","48.4","5928","3091","973","1864","4372","2232","322","1818","0","4","8"
"   Костромская область","2","0","2","0","0","9002","5458","716","2828","0","4613","51.2","2660","48.7","2402","1417","301","684","1720","1059","75","586","0","2","0"
"   Курская область","8","1","4","0","2","37414","20184","4283","12947","1054","20177","53.9","10895","54","9935","5363","1138","3434","7493","4041","148","3304","0","8","2"
"   Липецкая область","4","0","3","0","6","18939","10813","4520","3606","5905","9039","47.7","5203","48.1","5334","3114","1141","1079","3869","2214","563","1091","1","4","6"
"   Московская область","25","3","9","1","35","70529","38275","11515","20739","18304","35703","50.6","18338","47.9","18231","10033","3192","5006","15351","9016","947","5388","0","23","35"
"   Орловская область","3","0","3","0","5","27701","15424","3606","8671","6203","14494","52.3","7705","50","8505","5133","1256","2116","5268","3032","212","2024","0","3","5"
"   Рязанская область","6","0","4","0","2","29661","17522","3642","8497","4244","14920","50.3","9029","51.5","7552","4542","955","2055","5323","3107","321","1895","0","6","2"
"   Смоленская область","6","0","5","0","10","22395","13662","2208","6525","7952","12140","54.2","7266","53.2","5714","3480","551","1683","4329","2685","124","1520","0","6","10"
"   Тамбовская область","5","0","4","0","3","30428","14986","3088","12354","1982","14629","48.1","7227","48.2","8560","4532","794","3234","6059","3174","322","2563","0","5","3"
"   Тверская область","7","0","5","0","3","23331","15215","2332","5784","1849","11762","50.4","7895","51.9","7057","4877","717","1463","4454","3032","90","1332","0","6","3"
"   Тульская область","7","0","2","0","6","31812","16902","3400","11510","6071","15433","48.5","7869","46.6","8775","4648","1147","2980","6224","3157","434","2633","0","7","6"
"   Ярославская область","9","0","7","0","5","31450","20572","2518","8360","3413","17479","55.6","10986","53.4","8397","5876","675","1846","5301","3658","172","1471","0","9","5"
"   г.Москва","155","15","64","0","3","990331","603760","236055","150516","1345","498479","50.3","288620","47.8","327227","186327","91440","49460","194820","115090","29034","49674","1022","148","3"
"Северо-Западный федеральный округ","85","11","47","0","38","459273","336614","31113","91546","44883","240632","52.4","171893","51.1","133643","102493","9637","21513","85526","62942","2991","19068","525","82","38"
"   Республика Карелия","2","0","2","0","2","10693","7774","723","2196","1394","5917","55.3","4241","54.6","2724","1942","219","563","1881","1365","58","458","0","2","2"
"   Республика Коми","3","1","2","0","3","12705","7410","1023","4272","2305","5862","46.1","3335","45","3098","1932","313","853","1925","1113","98","714","0","3","3"
"   Архангельская область","3","1","1","0","3","18131","13353","1120","3658","2452","9852","54.3","7140","53.5","5023","3747","323","953","2907","2097","121","689","0","3","3"
"   Вологодская область","5","0","4","0","2","18900","10721","1782","6397","1894","9688","51.3","5158","48.1","4995","3023","476","1496","3457","2005","71","1381","0","4","2"
"   Калининградская область","3","1","1","0","7","22801","16036","1278","5487","6052","11877","52.1","8470","52.8","6686","4969","390","1327","3488","2423","7","1058","0","3","7"
"   Ленинградская область","1","1","0","0","8","4263","2100","1016","1147","1868","2483","58.2","1250","59.5","1170","670","341","159","720","432","48","240","0","1","8"
"   Мурманская область","3","1","1","0","3","7510","4308","414","2788","2051","2798","37.3","1847","42.9","1784","1171","80","533","1153","626","60","467","0","2","3"
"   Новгородская область","1","0","1","0","1","10615","7353","568","2694","319","5468","51.5","3627","49.3","3410","2546","152","712","1494","941","54","499","0","1","1"
"   Псковская область","4","0","3","0","3","11261","6741","849","3671","581","5813","51.6","3310","49.1","3236","2168","202","866","2035","1234","60","741","0","4","3"
"   г.Санкт-Петербург","60","6","32","0","6","342394","260818","22340","59236","25967","180874","52.8","133515","51.2","101517","80325","7141","14051","66466","50706","2414","12821","525","59","6"
"   Ненецкий автономный округ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Южный федеральный округ","58","4","35","0","85","407504","246476","46959","114069","86807","204291","50.1","118965","48.3","118332","72189","15240","30903","78681","47434","4840","26229","178","58","85"
"   Республика Адыгея","2","0","2","0","1","15306","8125","2991","4190","1132","6850","44.8","4053","49.9","3981","1827","1122","1032","2875","1720","303","852","0","2","1"
"   Республика Калмыкия","1","0","1","0","1","8449","4393","677","3379","826","3832","45.4","1987","45.2","2057","1283","72","702","1646","1000","0","646","0","1","1"
"   Краснодарский край","19","0","9","0","27","107173","63008","13296","30869","22339","59251","55.3","32373","51.4","31187","18158","4407","8622","20971","12245","1339","7213","174","19","27"
"   Астраханская область","5","0","5","0","7","28483","18348","2573","7562","3211","13913","48.8","9182","50","8540","5735","708","2097","5475","3525","359","1591","0","5","7"
"   Волгоградская область","11","1","8","0","11","61545","37443","6806","17296","11494","30006","48.8","18085","48.3","17971","10992","2203","4776","10840","6397","696","3743","4","11","11"
"   Ростовская область","13","1","7","0","25","138086","79708","17775","40603","39837","66279","48","36529","45.8","40086","23541","5658","10887","26876","15570","1775","9531","0","13","25"
"   Республика Крым","6","1","3","0","8","32690","23958","1964","6768","5002","16973","51.9","11573","48.3","9256","6810","735","1711","6909","4824","286","1799","0","6","8"
"   г.Севастополь","1","1","0","0","5","15772","11493","877","3402","2966","7187","45.6","5183","45.1","5254","3843","335","1076","3089","2153","82","854","0","1","5"
"Северо-Кавказский федеральный округ","44","3","22","0","41","220840","127395","25011","68434","36240","107812","48.8","61063","47.9","60508","35742","7154","17612","40296","22371","3080","14808","37","44","41"
"   Республика Дагестан","14","1","5","0","15","54717","29412","4596","20709","10619","26015","47.5","14304","48.6","13946","7667","1216","5063","10090","4896","704","4453","37","14","15"
"   Республика Ингушетия","2","0","1","0","0","7946","4625","885","2436","0","4345","54.7","2834","61.3","2071","1255","282","534","1305","738","106","461","0","2","0"
"   Кабардино-Балкарская Республика","4","0","3","0","1","15822","12943","1083","1796","88","7815","49.4","6167","47.6","4424","3602","406","416","3200","2351","165","684","0","4","1"
"   Карачаево-Черкесская Республика","2","0","2","0","3","10765","6114","1222","3429","1309","4616","42.9","2582","42.2","2853","1662","390","801","2216","1342","19","855","0","2","3"
"   Республика Северная Осетия - Алания","5","0","4","0","1","21579","14511","1667","5401","858","9851","45.7","6965","48","5676","3828","444","1404","3757","2708","176","873","0","5","1"
"   Чеченская Республика","3","0","3","0","2","40614","18994","6715","14905","1055","19913","49","7175","37.8","11386","5534","1957","3895","6064","2485","714","2865","0","3","2"
"   Ставропольский край","14","2","4","0","19","69397","40796","8843","19758","22311","35257","50.8","21036","51.6","20152","12194","2459","5499","13664","7851","1196","4617","0","14","19"
