"Распределение приема, численности студентов и выпуска специалистов организаций, осуществляющих образовательную деятельность по образовательным программам высшего образования (бакалавриат, специалитет, магистратура), в разрезе субъектов Российской Федерации","","","","","","","","","","","","","","","","","","","","","","","","",""
" (без учета обучающихся в соответствии установленной Правительством Российской Федерации квотой на образование иностранных граждан и лиц без гражданства)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Всего","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Число самостоятельных организаций","","","","Число филиалов самостоя- тельных  организа-
ций","Численность студентов, человек","","","","Численность студентов в филиалах, человек
(из гр. 7)","из общей численности студентов - женщины, человек","","","","Принято, человек","","","","Выпущено, человек","","","","","из гр.2 число организаций высшего образования","из гр.6 число филиалов организаций высшего образования"
"Приволжский федеральный округ","118","6","80","0","127","829443","506995","88037","234411","143988","420056","50.6","249275","49.2","233368","144410","27395","61563","154394","94361","8398","51617","18","117","127"
"   Республика Башкортостан","9","0","7","0","18","106485","57855","11223","37407","29635","50317","47.3","26869","46.4","28787","14776","3432","10579","19109","10304","796","8009","0","9","18"
"   Республика Марий Эл","4","0","2","0","0","17853","12130","2100","3623","0","8879","49.7","5814","47.9","5508","3790","672","1046","2974","2076","203","695","0","4","0"
"   Республика Мордовия","3","0","2","0","3","26355","17078","1818","7459","5427","13849","52.5","8633","50.6","7428","5103","597","1728","5207","3217","362","1628","0","3","3"
"   Республика Татарстан","24","1","12","0","21","149260","101758","12318","35184","26967","76043","50.9","49471","48.6","44178","30594","4093","9491","29638","20594","1182","7860","2","24","21"
"   Удмуртская Республика","8","0","5","0","8","39971","20845","4473","14653","5215","20225","50.6","10479","50.3","11315","5765","1329","4221","7428","3708","461","3259","0","8","8"
"   Чувашская Республика","4","0","4","0","6","35685","19010","5845","10830","8205","17652","49.5","9145","48.1","10422","5305","1920","3197","7105","3591","549","2965","0","4","6"
"   Пермский край","11","2","6","0","10","54049","36315","3308","14426","7730","28698","53.1","18782","51.7","15127","10699","990","3438","9676","6472","374","2830","0","11","10"
"   Кировская область","3","0","3","0","5","24637","15114","3025","6498","3551","13666","55.5","8286","54.8","6897","4035","831","2031","4659","2610","294","1755","0","3","5"
"   Нижегородская область","11","1","9","0","19","90463","59004","8258","23201","23186","47804","52.8","30418","51.6","25268","17128","2345","5795","16644","10571","1109","4964","0","11","19"
"   Оренбургская область","7","0","6","0","12","40488","22457","4609","13422","10295","23188","57.3","13215","58.8","10669","5583","2248","2838","7483","4112","346","3009","16","6","12"
"   Пензенская область","5","0","4","0","4","30791","19853","2150","8788","2197","14687","47.7","8577","43.2","8654","5747","660","2247","5986","3872","130","1984","0","5","4"
"   Самарская область","16","2","9","0","6","106420","60440","18481","27499","5046","51142","48.1","28364","46.9","29012","16984","5223","6805","18455","11282","1632","5541","0","16","6"
"   Саратовская область","8","0","6","0","10","71597","44809","5633","21155","13273","37742","52.7","22567","50.4","20312","13126","1736","5450","13540","8154","614","4772","0","8","10"
"   Ульяновская область","5","0","5","0","5","35389","20327","4796","10266","3261","16164","45.7","8655","42.6","9791","5775","1319","2697","6490","3798","346","2346","0","5","5"
"Уральский федеральный округ","48","4","32","0","43","293647","182585","25968","85094","29484","151630","51.6","93467","51.2","82743","53466","7260","22017","53827","31206","4047","18573","1","48","42"
"   Курганская область","2","0","2","0","4","12889","5869","730","6290","2917","7009","54.4","2923","49.8","3575","1522","199","1854","2903","1070","73","1760","0","2","4"
"   Свердловская область","23","2","12","0","13","125473","80217","13809","31447","9777","64145","51.1","40999","51.1","35889","24392","3791","7706","23034","13672","2567","6794","1","23","12"
"   Тюменская область","5","1","4","0","5","50359","36083","1194","13082","4391","24568","48.8","18611","51.6","14006","10705","328","2973","8089","5574","233","2282","0","5","5"
"   Челябинская область","13","1","9","0","16","84598","46036","7671","30891","10446","45644","54","22884","49.7","23588","12698","2301","8589","15666","8014","835","6817","0","13","16"
"   Ханты-Мансийский автономный округ","5","0","5","0","4","20321","14380","2563","3378","1946","10264","50.5","8050","56","5685","4149","641","895","4109","2876","339","894","0","5","4"
"   Ямало-Ненецкий автономный округ","0","0","0","0","1","7","0","1","6","7","0","0","0","0","0","0","0","0","26","0","0","26","0","0","1"
"Сибирский федеральный округ","72","7","52","0","48","488723","304710","41149","142864","43260","250098","51.2","149910","49.2","138022","88924","12470","36628","79817","51026","4082","24701","8","71","48"
"   Республика Алтай","1","0","1","0","0","2611","1518","136","957","0","1592","61","873","57.5","669","374","43","252","485","306","4","175","0","1","0"
"   Республика Тыва","1","0","1","0","0","6887","3236","239","3412","0","4095","59.5","1886","58.3","1857","899","61","897","1063","549","21","493","0","1","0"
"   Республика Хакасия","1","0","1","0","2","7605","4488","587","2530","1499","4211","55.4","2361","52.6","1905","1188","136","581","1418","806","48","564","0","1","2"
"   Алтайский край","7","0","6","0","10","51591","33241","3342","15008","10887","29292","56.8","17697","53.2","13595","8898","916","3781","8773","5767","212","2794","0","7","10"
"   Красноярский край","8","1","6","0","6","66697","46192","2908","17597","4764","33357","50","22800","49.4","18964","13512","868","4584","11054","7795","332","2927","0","8","6"
"   Иркутская область","11","0","9","0","7","63622","38928","3248","21446","3623","31718","49.9","19428","49.9","16777","10918","848","5011","10910","6897","265","3748","0","10","7"
"   Кемеровская область - Кузбасс","7","0","6","0","9","47763","28103","4377","15283","10231","23463","49.1","13885","49.4","13492","8567","1358","3567","7736","4497","639","2600","0","7","9"
"   Новосибирская область","16","2","12","0","4","102854","68279","6665","27910","6946","53882","52.4","33217","48.6","29464","20552","1909","7003","16954","11345","797","4812","0","16","4"
"   Омская область","12","2","6","0","7","72237","35343","11767","25127","3368","36481","50.5","17030","48.2","21231","9865","3598","7768","11763","5945","1338","4472","8","12","7"
"   Томская область","8","2","4","0","3","66856","45382","7880","13594","1942","32007","47.9","20733","45.7","20068","14151","2733","3184","9661","7119","426","2116","0","8","3"
"Дальневосточный федеральный округ","38","2","32","0","30","179404","118794","8159","52451","17299","91388","50.9","60617","51","49138","34441","2458","12239","29522","19216","931","9375","0","38","30"
"   Республика Бурятия","5","0","4","0","2","20811","11594","1331","7886","494","10595","50.9","5790","49.9","6183","3690","467","2026","3659","1946","164","1549","0","5","2"
"   Республика Саха (Якутия)","6","1","4","0","7","22475","15580","867","6028","2902","11182","49.8","7643","49.1","6293","4611","248","1434","3896","2753","55","1088","0","6","7"
"   Забайкальский край","2","0","2","0","3","19422","9615","920","8887","4530","10505","54.1","5479","57","4804","2561","254","1989","2981","1491","100","1390","0","2","3"
"   Камчатский край","2","0","2","0","3","4459","2168","649","1642","1153","2155","48.3","960","44.3","1238","565","260","413","652","321","54","277","0","2","3"
"   Приморский край","8","1","6","0","7","46621","38491","2102","6028","1616","23758","51","20320","52.8","13954","12078","612","1264","7473","6104","180","1189","0","8","7"
"   Хабаровский край","8","0","7","0","4","40875","25740","1473","13662","4601","20330","49.7","12174","47.3","10123","6649","389","3085","6836","4061","355","2420","0","8","4"
"   Амурская область","4","0","4","0","2","15461","11343","311","3807","489","8143","52.7","6121","54","4313","3138","117","1058","2657","1944","8","705","0","4","2"
"   Магаданская область","1","0","1","0","0","2358","1116","118","1124","0","1104","46.8","538","48.2","410","215","23","172","272","88","12","172","0","1","0"
"   Сахалинская область","1","0","1","0","1","4765","1964","388","2413","1400","2356","49.4","883","45","1329","650","88","591","692","335","3","354","0","1","1"
"   Еврейская автономная область","1","0","1","0","0","2043","1129","0","914","0","1231","60.3","693","61.4","458","268","0","190","393","169","0","224","0","1","0"
"   Чукотский автономный округ","0","0","0","0","1","114","54","0","60","114","29","25.4","16","29.6","33","16","0","17","11","4","0","7","0","0","1"
